EVENTO;ELEMENTO UBICADO;CODIGO ELEMENTO RESPONSABLE;DESCRIPCION ELEMENTO RESPONSABLE;CODIGO AMBITO;DESCRIPCION AMBITO;CODIGO CONDICION;DESCRIPCION CONDICION;OBSERVACIONES
B1830810;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830811;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830812;;P37;PIEZA DESCONECTADORA;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830813;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830814;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1830815;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;17;CORTO-CIRCUITO;
B1830816;;U01;UNION A TABLERO;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830818;;R04;REGLETA CONEX DAE;4;Red BT AÇrea;19;CONEXI‡N FUNDIDA;
B1830819;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830820;;M01;MEDIDOR;6;Cliente AÇreo;81;QUEMADO;
B1830822;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830823;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1830824;;D02;DOMICILIO;7;Cliente Subterr†neo;85;REVISION;
B1830825;;A11;ALDUTTI;1;Red MT AÇrea;5;ABIERTO;
B1830826;;N01;NEUTRO;6;Cliente AÇreo;43;FUNDIDO-A;
B1830827;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830828;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830830;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830831;;L09;LUMINARIA;8;Alumbrado P£blico;15;CONEXI‡N SUELTA;
B1830832;;R03;RECONECTADOR;1;Red MT AÇrea;85;REVISION;
B1830833;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830834;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830835;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830836;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830838;;P16;POSTE DISTRIBUCION;4;Red BT AÇrea;11;CHOCADO;
B1830839;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
